26.909180	8.154297	29.650529
29.763184	11.823730	29.520013
19.978027	16.308594	29.392346
21.201172	21.608887	29.263464
22.832031	18.754883	29.132058
27.316895	20.793457	29.000736
28.132324	25.686035	28.872632
26.501465	32.209473	28.748912
31.394043	29.763184	28.630151
25.278320	35.878906	28.516783
24.870605	48.110352	28.406649
15.900879	48.110352	28.295541
19.978027	32.209473	28.179872
29.355469	15.900879	28.062217
24.870605	2.446289	27.947612
11.823730	2.854004	27.832718
12.639160	16.308594	27.709850
19.978027	39.140625	27.578427
22.424316	32.617187	27.443689
26.501465	17.124023	27.310210
26.501465	11.823730	27.180859
25.686035	17.124023	27.056441
24.870605	30.986328	26.936221
20.793457	39.548340	26.818421
16.308594	36.694336	26.699522
18.347168	30.986328	26.576806
21.201172	31.394043	26.451217
25.686035	9.785156	26.326231
28.947754	10.600586	26.205915
29.355469	6.931152	26.093181
33.024902	0.407715	25.989841
25.278320	0.407715	25.895577
28.132324	12.639160	25.807721
23.647461	19.570313	25.724360
27.316895	12.231445	25.644737
28.132324	11.416016	25.569729
35.878906	12.231445	25.502633
30.578613	9.377441	25.446053
23.239746	25.686035	25.396894
11.416016	35.471191	25.346519
14.677734	36.286621	25.287751
18.347168	35.063477	25.220605
24.870605	29.763184	25.150029
23.239746	24.462891	25.080215
27.316895	24.462891	25.013131
30.578613	25.686035	24.951292
27.316895	41.179199	24.896456
33.024902	38.732910	24.849003
25.686035	26.909180	24.808865
27.316895	19.978027	24.773823
25.278320	15.085449	24.742077
22.424316	11.823730	24.712119
25.686035	17.124023	24.682721
19.162598	22.832031	24.653140
12.231445	26.909180	24.619022
7.746582	25.686035	24.574076
8.562012	11.823730	24.514879
13.454590	19.978027	24.442671
14.270020	25.686035	24.361120
23.647461	24.055176	24.274909
26.909180	19.162598	24.190339
28.132324	24.870605	24.111923
19.978027	14.270020	24.038821
14.677734	-1.223145	23.965515
19.570313	3.669434	23.888448
19.162598	5.300293	23.808945
19.162598	10.600586	23.728268
23.239746	20.385742	23.647521
28.540039	22.424316	23.570326
24.462891	17.531738	23.499388
27.724609	11.416016	23.434604
26.909180	22.424316	23.376193
30.578613	29.763184	23.325319
25.278320	21.201172	23.282015
27.316895	35.471191	23.244699
27.316895	33.432617	23.212817
28.132324	35.471191	23.186907
21.201172	40.363770	23.165332
14.677734	29.763184	23.142778
12.639160	8.562012	23.113530
26.501465	36.286621	23.078777
26.501465	28.132324	23.045555
25.686035	19.162598	23.017255
29.355469	15.900879	22.994220
28.132324	16.308594	22.977627
28.132324	28.540039	22.967524
22.832031	35.471191	22.961914
16.308594	24.055176	22.956100
20.385742	19.978027	22.946349
23.647461	20.385742	22.934135
21.201172	24.055176	22.921725
20.385742	15.900879	22.908497
20.385742	21.201172	22.893433
16.716309	30.986328	22.875452
15.493164	26.909180	22.852457
15.493164	29.355469	22.823092
19.162598	28.540039	22.788320
13.454590	24.462891	22.748850
12.231445	21.201172	22.702582
18.754883	24.870605	22.649442
23.647461	27.724609	22.594189
27.316895	21.201172	22.542226
26.501465	38.325195	22.496456
25.278320	39.140625	22.456861
30.986328	44.848633	22.423846
24.870605	52.187500	22.398218
25.278320	44.440918	22.378063
26.909180	29.763184	22.362190
32.209473	38.325195	22.352778
33.432617	36.694336	22.353078
22.424316	19.978027	22.361793
19.570313	7.338867	22.372322
19.162598	11.008301	22.380071
19.570313	6.931152	22.384303
27.316895	7.746582	22.387314
31.394043	19.162598	22.394405
31.394043	19.978027	22.409559
24.055176	22.832031	22.431540
26.909180	22.832031	22.456908
25.278320	9.377441	22.484627
20.385742	14.270020	22.513168
25.278320	30.986328	22.540751
30.578613	36.286621	22.570068
19.978027	28.132324	22.602294
15.493164	35.878906	22.631910
18.347168	39.548340	22.654609
22.424316	48.518066	22.672076
20.385742	45.256348	22.686884
23.239746	30.986328	22.699889
23.647461	18.347168	22.712229
20.385742	11.008301	22.724028
15.493164	17.124023	22.732408
23.647461	13.046875	22.736228
20.385742	8.969727	22.737834
20.385742	12.639160	22.737752
24.462891	25.278320	22.736274
27.316895	40.363770	22.736356
28.540039	48.518066	22.740818
24.870605	43.217773	22.749887
17.531738	23.239746	22.759809
23.239746	24.870605	22.767215
23.239746	24.462891	22.773283
31.394043	27.316895	22.781708
31.801758	34.655762	22.796766
29.355469	31.394043	22.819854
28.132324	28.132324	22.849084
23.647461	17.124023	22.881685
24.462891	15.900879	22.915005
24.055176	15.493164	22.948120
30.578613	15.493164	22.982719
34.655762	9.785156	23.023088
34.655762	9.785156	23.072781
29.763184	24.055176	23.131107
35.878906	37.509766	23.196651
33.024902	48.110352	23.270194
37.509766	46.479492	23.352583
32.209473	37.102051	23.443543
31.394043	24.055176	23.540771
26.501465	15.493164	23.640774
30.578613	6.931152	23.741607
26.909180	6.931152	23.843020
26.501465	8.562012	23.943917
24.462891	0.815430	24.042500
26.501465	14.270020	24.138129
29.355469	28.540039	24.232122
31.394043	36.286621	24.327025
28.132324	32.617187	24.423661
24.462891	22.424316	24.519708
24.870605	19.978027	24.612414
25.278320	22.424316	24.701190
30.578613	28.540039	24.787836
28.132324	33.432617	24.874604
30.578613	38.732910	24.962150
21.608887	30.986328	25.048630
24.055176	24.462891	25.130577
25.278320	17.124023	25.207359
28.540039	12.231445	25.281272
31.394043	27.724609	25.355153
32.209473	22.832031	25.431495
31.394043	16.308594	25.511072
24.462891	11.823730	25.591618
25.278320	20.793457	25.669363
27.724609	24.055176	25.743603
28.947754	31.801758	25.816238
27.724609	37.509766	25.888231
30.986328	45.664062	25.960068
